Cocktail,Ingredients,Preparation,Bar/Company,Location
Aviation,"Gin, Maraschino Liqueur, Lemon Juice",Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,,
Cherry Electric Lemonade,"Sweet And Sour, Vodka, Club Soda, White Rum, Gin, Cherry Grenadine, Triple Sec, Tequila",Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,,
Cosmopolitan,"Cranberry Juice, Absolut Citron, Cointreau, Lime Juice",Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,,
Cosmopolitan Martini,"Vodka, Lime, Cointreau, Cranberry Juice","Pour all ingredients in mixing glass half filled with ice, shake and strain into chilled Martini glass.",,
Cream Soda,"Ginger Ale, Spiced Rum",Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,,
Dark Caipirinha,"Cachaca, Lime, Demerara Sugar","Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well.",,
Dirty Martini,"Lemon, Dry Vermouth, Olive, Olive Brine, Vodka","Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.",,
Duchamp's Punch,"Pisco, Lime Juice, Lavender, Pepper, Pineapple Syrup, Angostura Bitters, St. Germain","Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs",,
Espresso Martini,"Kahlua, Vodka, Sugar Syrup","Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass",,
Flaming Lamborghini,"Blue Curacao, Kahlua, Bailey'S Irish Cream, Sambuca","Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!",,
French Martini,"Vodka, Raspberry Liqueur, Pineapple Juice",Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,,
Gagliardo,"Lemon Juice, Galliano, Sirup Of Roses, Peach Vodka","Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy.",,
Gin Rickey,"Soda Water, Lime, Lemon, Grenadine, Gin",Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.,,
Imperial Cocktail,"Aperol, Gin, Lime Juice",Shake with ice and strain into cocktail glass.,,
Irish Curdling Cow,"Vodka, Bourbon, Orange Juice, Bailey'S Irish Cream","Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.",,
Jitterbug,"Lime Juice, Vodka, Soda Water, Gin, Grenadine, Sugar Syrup, Sugar","Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!",,
Lemon Drop,"Lemon, Absolut Vodka, Cointreau",Shake and strain into a chilled cocktail glass rimmed with sugar.,,
Malibu Twister,"Malibu Rum, Cranberry Juice, Tropicana","Add rum & trister then, add cranberry jucie,stir",,
Manhattan,"Maraschino Cherry, Bourbon Blended, Angostura Bitters, Sweet Vermouth, Orange Peel","Stirred over ice, strained into a chilled glass, garnished, and served up.",,
Martinez Cocktail,"Dry Vermouth, Triple Sec, Gin, Cherry, Orange Bitters",Stir all ingredients (except cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,,
Martini,"Gin, Olive, Dry Vermouth","Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",,
Mary Pickford,"Maraschino Cherry, Pineapple Juice, Grenadine, Maraschino Liqueur, Light Rum",Shake and strain into a chilled large cocktail glass,,
Miami Vice,"151 Proof Rum, Pina Colada Mix, Daiquiri Mix","First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together).",,
Midnight Mint,"White Creme De Menthe, Bailey'S Irish Cream, Cream Double","If available, rim cocktail (Martini) glass with sugar syrup then dip into chocolate flakes or powder. Add ingredients into shaker with ice. Shake well then strain into cocktail glass.",,
Mojito,"Sugar, Mint, Lime, Soda Water, Light Rum",Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,,
Mojito #3,"Dark Rum Jamaican, Club Soda, Lemon Juice, Angostura Bitters, Mint","Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura.",,
New York Lemonade,"Absolut Citron, Club Soda, Lemon Juice Sweetened, Grand Marnier",Serve in a chilled cocktail glass. Lemon and sugar the rim. Stir and Strain.,,
Old Fashioned,"Angostura Bitters, Water, Bourbon, Sugar","Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.
Fill the glass with ice cubes and add whiskey.

Garnish with orange twist, and a cocktail cherry.",,
Pisco Sour,"Pisco, Lemon Juice, Sugar","Vigorously shake and strain contents in a cocktail shaker with ice cubes, then pour into glass and garnish with bitters.[1]",,
Ruby Tuesday,"Cranberry Juice, Grenadine, Gin",Pour gin and cranberry into a highball filled with ice cubes. Add grenadine and stir.,,
Shark Attack,"Vodka, Lemonade, Water",Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!,,
Tequila Sunrise,"Tequila, Orange Juice, Grenadine","Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve.",,
The Evil Blue Thing,"Creme De Cacao, Light Rum, Blue Curacao","Pour ingredients into glass, and drop in a blue whale! The blue whale isn't really necessary, but it makes the drink more ""fun"".",,
Vesper,"Gin, Vodka, Lillet Blanc","Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",,
Yellow Bird,"Triple Sec, Lime Juice, White Rum, Galliano",Shake and strain into a chilled cocktail glass,,
Zippy's Revenge,"Rum, Kool-Aid Grape, Amaretto",Mix Kool-Aid to taste then add Rum and ammaretto. shake well to disolve the sugar in the Kool-Aid... serve cold,,
Zorbatini,"Vodka, Ouzo",Prepare like a Martini. Garnish with a green olive.,,
Flor de Amaras," Mezcal, Hibiscus Simple Syrup*,  Lime Juice,  top Soda Water",*Hibiscus Simple Syrup: 1:1 w/ a cup of dried hibiscus steeping for 30-40 min,,Boston
The Happy Place," Junipero Gin,  House-made Cranberry Syrup*,  Lemon Juice,  Cranberry Juice,  Lillet Blanc, Forgery Earth Day Bitters,  mist Laphroaig",*House-made Cranberry syrup:  -- 2 cups Fresh Cranberries -- 1 cup Sugar -- 1 cup Water -- 2 Bay Leaves -- .25 cup Pink Peppercorns -- Half Serrano Chile -- 4 Sprigs Fresh Rosemary  Add all ingredients to a pot and heat thoroughly. Simmer on low until cranberries cook down for 25 minutes. Strain and let cool.,Forgery & Verso,San Francisco
Bon Voyage Pisco Punch," BarSol Selecto Italia Pisco, Lemon Juice, Pineapple Gomme Syrup*,  Fee Bros Lemon Bitters, Old Vine Zin","*Pineapple Gomme:  Mix equal parts (1.5 cups) gum arabic with water over high heat until it all mixes and then let cool for a bit. Then you're gonna make a sugar syrup with 2 parts sugar, 1 part water (4 cups water, 2 cups white granulated sugar) in the same manner over high heat until it mixes, and then add the gum syrup to the mix until everything dissolves and what you're left with is a thick gummy syrup that resembles a whole lot of baby batter. Then cut up 1.5 cups of pineapple chunks, put in mason jar, and pour the gum syrup over it and let it sit in the refrigerator over night. A few hours would work also if you don't have that much time. However, the more time, the more pineapple infusion takes place. When it's ready, strain into another mason jar or bottle, and it's ready to go.",,San Francisco
Still Life of a Pineapple," BarSol Primero Quebranta Pisco,  Dry Vermouth,  St. Germain,  Pineapple Syrup*, Vieux Pontarlier Absinthe Francaise Superieure",*Pineapple Syrup: <em>Equal parts pineapple blended with water and sugar and strained</em>,Backbar,Somerville
The Bittered Valley," Luxardo Maraschino Liqueur, Acid phosphate, BarSol Primero Quebranta Pisco,  Luxardo Amaro Abano,  Luxardo Fernet, Scrappy's Aromatic Bitters","1st glass ingredients: Luxardo Maraschino, Acid Phosphate  2nd glass ingredients: BarSol Quebranta Pisco, Luxardo Amaro Abano, Luxardo Fernet, Scrappy's Aromatic Bitters",,Seattle
OH Snap!," Junipero Gin, House-made Simple Syrup*, Manzanilla Sherry,  Lemon Juice, Absinthe, 6-8  Sugar Snap Peas,  top Tonic","Add 6-8 sugar snap peas to cocktail shaker. Lightly muddle the peas. Add all other ingredients except for the tonic. Shake and double strain into a collins glass. Top with tonic.   *House-made Simple Syrup:  -- 1 cup Sugar -- 1 cup Water  Add equal parts sugar and water into a small saucepan, bring to a boil; simmer until the sugar is dissolved, approximately 3 minutes. Remove from heat, let cool to room temperature and transfer to a clean glass jar. Cover and keep refrigerated for up to 2 weeks.",Pacific Cocktail Haven,San Francisco
Wabash Avenue Sour," Bourbon, Fresh Lemon Juice,  Luxardo Sangue Morlacco Cherry Liqueur,  Small Hand Foods Pineapple Gum Syrup,  Egg White","Add all ingredients and dry-shake (without ice), then add ice, and shake again. Strain into coupe and garnish with rhubarb bitters.",American Oak,Alameda
IPA Mule," Hophead Vodka,  Ginger Liqueur,  Lime Juice,  Pure Cane Simple Syrup, 2 count Deschutes Fresh Squeezed IPA (from tap)","Add all ingredients except beer into shaker tin, shake vigorously for 10 seconds. Add beer in shaker tin then double strain into tin cup. Add mint for garish.",AMK Kitchen Bar,Chicago
Ritz Cocktail," Cognac,  Cointreau,  Luxardo Maraschino Liqueur,  Fresh Lemon Juice, Champagne","Add all ingredients except the champagne to a mixing glass and fill with ice. Stir, and strain into a martini glass. Fill with champagne and garnish with a flamed orange peel.",,
King's Snap the Chocolate Out of You," King's Ginger Liqueur, Homemade milk chocolate,  Hazelnut Cinnamon syrup,  oz Marshmallow whip cream,  oz Ginger snaps",Add all ingredients except the whip cream and ginger snap. Shake and double into a rocks glass with no ice. Top with marshmallow whip cream. Garnish with Ginger snap crumbles.,,New Orleans
Happiness," Jasmine Tea/Rice-Infused Junipero Gin*,  Leopold Bros. Sour Apple Liqueur,  Lime,  House-made Honey Syrup**,  Lo-Fi Gentian Amaro","Add all ingredients in a cocktail shaker, shake, fine strain into a chilled coupe or martini glass. Garnish with edible flower.  *Jasmine Tea/Rice-Infused Junipero Gin: -- 1 bottle (750ml) Junípero gin -- .5 cup Jasmine Tea -- .5 cup Jasmine Rice (wash rice to eliminate starch)  Sous Vide Version: Wash the jasmine rice to clean out the starch. Fill container with hot water. Set sous vide at 52c. Add vacuum seal bag with jasmine tea/rice in bath. Let sit in bath for 45 minutes. Take the bag out of bath and sit it in ice bath for 15 minutes. Open bag and fine strain back into bottle.  Infusion Version: Wash the jasmine rice to clean out the starch. In a cambro/mason jar, add Junípero gin and jasmine tea and rice. Let infuse for 24 hours. Fine strain into bottle.  **House-made Honey Syrup:   Put equal parts of honey (10 oz) and water (10 oz) in a saucepan. Boil, then turn down to a simmer and stir until the honey is completely dissolved.",Mister Jiu's,San Francisco
Fourth Generation," Mezcal,  Luxardo Espresso Italian Liqueur,  Luxardo Bitter Bianco, Salted Chocolate Bitters",Add all ingredients in a mixing glass and stir with ice. Strain into a Nick & Nora coupe. Garnish with a ghost orange twist.,The Forgery,San Francisco
West Coast Punch," Junipero Gin,  Pineapple Juice,  Monin Strawberry Puree, 6-7  Mint Leaves,  Lemon Sour, Lemon Lime Soda",Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain into a Nick & Nora glass. Garnish with lime pinwheel and bing cherry.,,
Mille Miglia," Luxardo Maraschino Liqueur,  Luxardo Sangue Morlacco Cherry Liqueur, 1  Basil Leaf,  Lime Juice, Rose Water",Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain into a Nick & Nora glass. Garnish with lime pinwheel and bing cherry. ,,
Paradiso Sun," Junipero Gin, Lime Sour,  Orange Juice,  Dry Curacao",Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain into a Nick & Nora glass. Garnish with orange slice and 1 bar spoon juniper berries.,,
Lux Orchard Lemonade," Luxardo Maraschino Liqueur,  Junipero Gin,  Monin Apple Puree,  Lemon Juice, Fennel Bitters",Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain over fresh ice. Garnish with Luxardo Cherry.,,
Cut & Rum," Banks 5 Rum,  Denizen Aged White Rum ,  Denizen Aged White Rum ,  Luxardo Amaro Abano","Add all ingredients in mixing glass, stir and strain over 2x2 ice cube in smoked glass on hickory board. Garnish with orange peel and clothes pin.",Drift Fish House & Oyster Bar,Atlanta
The King's Spring Daisy," King's Ginger Liqueur, H by HINE,  Lemon juice,  Simple syrup, Fee Brothers Rhubard bitters",Add all ingredients into a cocktail shaker. Shake and double strain into a glass. Garnish with a sprig of mint.,,
The King's Ginger Spiced Punch," King's Ginger Liqueur,  Cranberry Juice,  Fever-Tree Lemonade",Add all ingredients into a punch bowl or pitcher and stir. Add lemon wheels and strawberries to garnish.,,
War of the Roses," Junipero Gin,  C. Drouin Calvados Selection,  Lemon Juice,  Ginger-Vanilla Syrup, Angostura Bitters, 1 bottle Sparkling Rose",Add all ingredients into a punch bowl. Serve in small rocks glasses.,,
The King's Medicine," King's Ginger Liqueur,  Luxardo Fernet,  BenRiach Curiositas Single Malt 10 YO,  Lemon Juice","Add all ingredients into a shaker with ice, shake furiously. Fine strain into chilled coupe. Garnish with a lemon twist.",Blackbird,San Francisco
A.Nise," Pink Pigeon Rum,  Luxardo Amaretto di Saschira,  Osha Falernum,  Lemon juice, Pineapple juice, Orange bitters",Add all ingredients into a shaker with ice. Shake. Strain over fresh ice into a rocks glass. Garnish with star anise and two slices lemongrass.,Osha,San Francisco
Down the Rabbit Hole," oz Junipero Gin,  oz Lemon,  oz Elder Flower Liquor,  oz Honey Syrup,  oz Carrot Juice","Add all ingredients into a shaker, shake strain into a collins glass, fill with crushed ice, garnish with mint leaves.",Tony's Pizza Napoletana,San Francisco
Peace Daiquiri," Pink Pigeon Rum,  Luxardo Maraschino Liqueur,  Fresh Lime Juice,  Simple Syrup,  Fresh Grapefruit Juice",Add all ingredients into shaking tin. Add ice cubes to tin. Shake vigorously and strain into coupe. Garnish with Luxardo Maraschino Cherry. ,,
The King's Autumn Cobbler," King's Ginger Liqueur,  Briottet Creme de Mure (Blackberry),  top Pear Cider",Add all ingredients over ice. Stir with a barspoon. Squeeze lemon wedges and add blackberries.,,
The Mad King," Glenrothes Vintage Reserve, King's Ginger Liqueur,  Honey Syrup, Angostura Bitters",Add all ingredients to a mixing glass and stir for 15-20 seconds. Strain into a highball filled with fresh ice. ,,
The Robert Baratheon," Single Malt Scotch,  Dry Vermouth,  Luxardo Maraschino Liqueur, Angostura Bitters",Add all ingredients to a mixing glass filled with ice. Stir until cold and strain into a chilled coupe.,,
Lux Shandy," Luxardo Aperitivo,  Lemon Juice,  Orange Juice,  Simple Syrup,  top Anchor California Lager",Add all ingredients to a mixing glass. Add ice and integration shake. Pour over fresh ice into a highball and top with California Lager. Garnish with a half orange wheel.,Eastern Standard,Boston
Fiona Graham," Luxardo Bitter Bianco, Junmai Sake,  Coconut Rum, Orange Bitters, Coconut Vinegar",Add all ingredients to a mixing glass. Stir until thoroughly chilled (~30 seconds). Strain into a chilled cocktail glass. Serve with one big rock. Garnish with an expressed orange swath.,,Houston
Le Sang et Sable," H by HINE,  Dubonnet Rouge,  Cherry Herring,  Blood Orange Juice,  Lemon Juice",Add all ingredients to a shaker and fill with ice. Shake vigorously and strain into chilled stemmed cordial glass. Garnish with cocktail cherry and lemon twist.,,
Martinez," Old Tom Gin, Tempus Fugit Alessio Vermouth di Torino Rosso,  Luxardo Maraschino Liqueur, Tempus Fugit Abbott's Bitters","Add all ingredients to a shaker and fill with ice. Shake, and strain into a chilled coupe glass.",,
Amaretto Sour BV-Style," Luxardo Amaretto di Saschira,  Bourbon,  Fresh Lime Juice,  Pineapple Juice,  Fresh Egg White, Angostura Bitters",Add all ingredients to a shaker and shake well without ice to emulsify the egg white. Add ice and shake hard until the drink is chilled. Strain through a fine-mesh strainer into a chilled coupe and garnish.,The Bon Vivants,San Francisco
Julia's Child," Broker's Gin, Karlsson's Gold Vodka, Celery Root Puree,  Fresh Lemon Juice,  Simple Syrup, Apple Bitters, Angostura Bitters","Add all ingredients to a shaker and shake with ice, then double strain into a cocktail glass. Garnish with a celery leaf.",Best Intentions,Chicago
The Bitter King," King's Ginger Liqueur,  Lemon Juice,  Simple Syrup","Add all ingredients to a shaker, add ice, shake and strain into a martini glass garnish with a Luxardo Cherry.",,
La Maracuja," Ypioca Brasilizar Cachaca Prata Reserva Especial, Fresh Passion Fruit, Condense Milk,  Brown Sugar Syrup (2:1)",Add all ingredients to blender and blend throughly. Double strain into a glass with cracked ice garnish with a mint sprig and fresh grated nutmeg.,White Oak Tavern,New York
San Francisco Strong (Skrong)," Junipero Gin,  Tempus Fugit Kina L'Aero d'Or,  Luxardo Bitter Bianco,  Lemon Juice,  Egg Whites,  Rich Simple Syrup*","Add all ingredients to tin and dry shake. Add ice and vigorously shake for 12 seconds. Fine strain into chilled cocktail glass. Garnish by sprinkling matcha powder (.25 tsp).   *Rich Simple Syrup:  -- 2 cups Granulated Sugar -- 1 cup Water  Combine sugar and water in a small saucepan over medium heat and stir until sugar dissolves. Remove from heat, let cool to room temperature and transfer to a clean glass jar. Cover and keep refrigerated for up to 2 weeks.",Blackbird,San Francisco
Nuestra Julep," High West Oat Whisky,  King's Ginger Liqueur,  Peach Shrub,  Lime, Angostura Bitters, Grapefruit Bitters",Add all ingredients together.,Padrecito,San Francisco
Pisco Punch," BarSol Selecto Italia Pisco, Pineapple Juice, Fresh Lime Juice, Simple Syrup",Add all liquid ingredients into a cocktail shaker with ice. Shake well and strain into an ice filled white wine glass. Garnish by adding pineapple chunks and Luxardo Cherry.,,
La Batida Loca," Ypioca Brasilizar Cachaca Prata Reserva Especial, Sweetened Condensed Milk, Passion Fruit (fresh or puree),  Pilon Syrup*","Add all of the ingredients, except seeds, to a shaker with ice and shake well. Double strain onto fresh ice into a collins glass. Garnish with 1 spoon of passion fruit seeds.  *Pilon Syrup: Homemade 50/50 simple syrup using Pilon Sugar made from Mexican Sugar Cane.",Tippling Hall,Chicago
Neighborhood Negroni," Junipero Gin, Campari, Tempus Fugit Alessio Vermouth di Torino Rosso",Add all the ingredients to a mixing glass and fill with ice. Stir until well chilled and strain into a chilled cocktail glass. Garnish with a flamed orange twist.,,
Rothes Roy," Glenrothes Vintage Reserve,  Tempus Fugit Alessio Vermouth di Torino Rosso, Angostura Bitters","Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a chilled cocktail glass. Garnish with a Luxardo Cherry.",,
Angel's Face," No.3 London Dry Gin, Applejack, Luxardo Apricot Liqueur","Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a cocktail glass. Garnish with a slice of orange peel.",,
Kiss," Gin,  Sweet Vermouth,  Dubonnet Rouge,  Luxardo Maraschino Liqueur","Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a martini glass. Garnish with an apple slice.",,
The Cappa," Gin, Pineau des Charentes,  Luxardo Maraschino Liqueur","Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a small wine or cocktail glass. Twist a slice of lemon peel over the drink and use as garnish.",,
The Inside Job," Bourbon,  Luxardo Maraschino Liqueur,  Simple Syrup, Angostura Bitters, Vieux Pontarlier Absinthe Francaise Superieure","Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into an old fashioned glass filled with fresh ice. Garnish with a Luxardo Cherry and an orange slice or twist.",,
The Sun Also Rises," Banks 5 Island Rum,  Fresh Lime Juice,  Fresh Grapefruit Juice,  Luxardo Maraschino Liqueur, Vieux Pontarlier Absinthe Francaise Superieure","Add all the ingredients to a shaker and fill with ice. Shake, and strain into a chilled coupe glass filled with crushed ice.",,
Trato Hecho," Pineapple-Infused Mezcal*,  Green Chartreuse,  Luxardo Maraschino Liqueur,  Lime Juice","Add all the ingredients to a shaker and fill with ice. Shake, and strain into a coupe glass.  *Pineapple-Infused Mezcal: Peel, core and chop a whole pineapple into 1-inch cubes. Add to a large jar or other container with a lid, and add a 750-mL bottle of mezcal. Let stand for 5 days and strain before using.",,
Nick & Janae," H by HINE,  Luxardo Amaro Abano,  Fresh Lemon Juice,  Strawberry Syrup*,  Egg White","Add cognac, amaro, lemon, strawberry syrup and fresh cracked egg white of a whole egg to tin. Dry shake without ice approx. 5 seconds to emulsify. Add ice and shake hard again approx. 10 seconds. Fine strain into coupe. Crack drag black pepper over surface. Serve and enjoy.  *Strawberry syrup- 1 cup fresh strawberries 1 cup water 1cup sugar. Blend in vitamix then heat on stove and stir until hot to bind sugars, don't boil. Bottle and refrigerate.",Harper & Rye,San Francisco
On the Wings of Eagles," H by HINE,  Rye Whiskey,  Green Chartreuse, Lemon Bitters, Fernet-Branca","Add cognac, rye, Chartreuse and bitters to a mixing glass with ice, and stir until cold. Add splash of fernet to a rocks glass, roll the glass to coat the sides, and discard the excess. Add one large ice cube to the glass, strain the drink over the cube, and garnish with a mint sprig.",The Olde Bar,Philadelphia
Mule Pigeon," Pink Pigeon Rum, Angostura Bitters,  top Ginger Beer","Add cubed ice to a highball, add 2 dashes of Angostura Bitters, top with ginger beer, garnish with a sprig of basil.",,
Cuba Liberation," Pink Pigeon Rum, Fresh lime juice,  Simple syrup,  oz Mexican Coca Cola, Luxardo Fernet",Add first three ingredients to a mixing glass with shaker and lightly shake with ice. Pour mixture into a Collins or highball glass over ice. Top with Mexican Coke (or any coca cola as a substitute) and pour Luxardo Fernet on top to float. Garnish with a lime wheel and fresh mint sprig.,,
Off the Radar," Junipero Gin,  Lemon Juice,  Luxardo Maraschino Liqueur,  Liqueur de Violette, Tonic Water","Add gin, lemon juice, maraschino liqueur, and liqueur de violette to a collins glass filled with ice. Add tonic water; stir to combine. Garnish with a lemon wheel.",,
Maraschino Side Car," Luxardo Maraschino Liqueur,  Dry Curacao,  Bourbon Rye,  Lemon Juice",Add ingredients in a mixing glass with fresh ice. Shake vigorously strain over fresh ice. Garnish with lemon peel to fit in glass and 1 dash of Abbott's Aromatic Bitters. Optional sugar rim. ,,
The Royal Buck," No.3 London Dry Gin, King's Ginger Liqueur,  Lemon juice,  Simple syrup, Club soda","Add ingredients to a mixing glass except club soda. Shake over ice, strain over ice into a collins glass, top with club soda. Garnish with a lemon wedge and candied ginger on a pick.",,
Rx Hot Toddy," Old Potrero Straight Rye Whiskey,  Lemon Juice, Cold-pressed Apple Cider, Hot Water,  Honey-Ginger Syrup*, Ghost-Pepper-Infused Campari**, Cinnamon Tincture***",Add ingredients to a mug and stir.  *Honey-Ginger Syrup: Combine 1 part ginger with 2 parts honey and 1 cup of water and boil. Reduce heat and simmer for 5 mins. Strain and discard solids.  **Ghost-Pepper-Infused Campari: Soak 1 ghost pepper in a 16 oz. bottle of Campari for up to 24 hrs (reduce infusion time to reduce heat).  ***Cinnamon Tincture: Soak 3 cinnamon sticks in 16 oz. of any neutral grain alcohol that is high proof (regular 80-proof vodka is great) for up to 14 days. Strain and discard the sticks.,Walter Foods,Brooklyn
Spanish G&T," Junipero Gin, East Imperial Superior Tonic ,   Assorted Complementing Botanicals*","Add Junipero Gin and botanicals first. Add ice and follow with a bold tonic. Top with additional botanicals/garnish for presentation.  *Assorted Complementing Botanicals: Orange, Star Anise, Rose Petals, Italian Juniper",The Gin Room,St. Louis
Chilcano," BarSol Selecto Acholado Pisco,  Fresh Lime Juice, Angostura Bitters,  top Ginger Ale",Add pisco and lime juice into a highball glass filled with ice. Pour ginger ale into the glass to top. Add 2-3 drops of bitters. Garnish with lime wheel.,,
